SRF034.B,SRF035.B,SRF036.B,SRF037.B,SRF038.B,SRF039.B,SRF061.B,SRF062.B,SRF063.B,SRF064.B,SRF019.B,SRF020.B,SRF021.B,SRF022.B,SRF023.B,SRF024.B,SRF025.B,SRF026.B,SRF027.B,SRF028.B,SRF029.B,SRF030.B,SRF031.B,SRF032.B,SRF033.B,SRF072.B,SRF073.B,SRF065.B,SRF066.B,SRF067.B,SRF068.B,SRF069.B,SRF070.B,SRF071.B,SRF001.B,SRF002.B,SRF003.B,SRF004.B,SRF005.B,SRF006.B,SRF007.B,SRF008.B,SRF009.B,SRF010.B,SRF011.B,SRF012.B,SRF013.B,SRF014.B,SRF015.B,SRF016.B,SRF017.B,SRF018.B,L9,L10,L7,L4
6,5,6,7,6,5,7,6,1,7,7,5,4,6,5,7,5,5,2,3,7,4,5,3,5,63,3,5,7,5,4,2,7,1,2,3,2,3,6,4,4,6,5,1,6,3,4,5,1,2,5,1,-0.04420964699997894,-0.054724576514337556,-0.10911800600282265,-0.07052513332659856
6,6,6,5,5,5,5,7,3,6,5,6,4,6,6,6,6,4,5,5,5,5,6,5,4,60,4,2,4,3,3,3,5,5,6,6,5,5,4,2,5,1,2,4,4,4,5,4,2,2,5,4,0.10127446985906219,0.03938166916303565,0.09296889379111714,0.026800732863816068
5,5,6,5,6,6,5,4,4,4,6,7,6,5,6,7,6,5,5,5,6,4,5,5,5,90,5,4,4,4,4,4,4,4,5,2,4,4,3,4,4,3,3,5,4,4,4,4,3,3,5,4,0.07174676039581519,0.036336145895178806,0.03792468084324323,0.0059418834059492154
5,7,7,7,7,7,7,5,7,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,5,60,5,7,7,7,7,7,7,5,6,6,4,6,6,5,5,6,1,6,6,6,5,6,6,6,6,1,0.23183619218039428,0.05938130246826177,0.25772259025646305,0.06669193120961502
7,7,7,6,7,6,4,7,1,7,6,7,7,6,5,7,6,6,6,6,7,6,6,5,5,65,4,2,6,2,5,2,6,6,5,5,5,5,5,3,6,1,2,2,1,5,5,4,1,6,4,5,0.1917452480062946,0.08362337478790785,0.10788653691718275,0.03152607233309784
7,6,7,4,4,4,4,6,3,7,6,6,6,4,5,6,6,2,2,4,5,2,3,6,2,30,5,6,5,6,5,5,4,5,3,4,3,5,5,4,6,2,4,3,1,4,5,5,2,5,3,4,-0.2471900921507451,-0.05217028724865362,-0.1374349430347603,-0.0698155822659201
7,1,7,7,7,6,7,7,1,5,7,4,1,7,2,3,4,4,1,4,6,1,5,4,7,50,4,4,7,7,5,3,7,3,6,5,1,4,2,4,6,1,1,4,2,4,6,3,6,3,4,6,-0.08521334068569536,0.004263032275264427,-0.10392917433874224,0.026127594758180044
1,2,6,2,2,6,5,1,1,2,6,6,6,6,4,3,4,4,5,1,2,6,6,2,1,2,4,2,1,1,1,5,6,1,1,1,1,4,4,1,4,6,2,4,1,2,3,6,4,5,6,6,-0.10507319252183105,-0.052966627392113066,-0.2610753580779509,-0.06548191874812188
5,6,5,7,5,7,2,1,7,5,7,5,7,7,3,4,7,7,4,4,4,7,5,4,4,23,2,6,7,7,5,6,7,5,6,6,2,6,5,4,6,4,5,6,6,6,4,6,4,6,2,4,0.08111769989450549,0.008882417330340961,0.02915886135334058,0.08528866973826157
7,4,4,4,4,4,4,4,4,7,5,6,4,5,5,6,7,7,5,1,7,6,7,7,4,75,3,7,7,5,7,7,3,7,6,6,1,3,1,4,4,6,4,2,4,5,6,6,4,1,1,3,-0.007726778717974026,-0.012192147993374048,-0.19667729704029557,0.030530592634967567
5,6,4,5,6,6,4,5,5,6,7,7,4,4,4,7,6,5,6,4,7,4,6,4,6,50,4,6,7,4,5,5,4,3,6,5,5,3,4,3,3,5,2,5,5,5,3,6,4,3,4,3,0.02906961280971332,0.02455267998650669,0.13217986847830362,0.007037133284148423
5,4,5,4,4,4,7,7,6,7,6,5,2,2,1,6,6,3,2,1,6,2,2,5,6,20,2,6,6,6,7,7,6,7,6,3,2,6,5,4,4,4,5,4,5,2,1,4,4,6,6,6,-0.29726806013796725,-0.04770010896598047,-0.10536704161819399,-0.041295630051808405
1,1,1,1,1,1,7,7,1,7,5,7,7,7,7,7,7,7,3,7,7,3,7,7,7,75,2,7,7,7,7,7,1,7,6,6,1,6,6,6,6,6,1,4,1,6,6,6,1,6,6,6,-0.009380717800023638,-0.020545796771888974,-0.0895832120387194,0.05593859539911633
1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,100,4,5,4,4,5,1,1,1,6,6,3,4,1,4,6,1,4,2,6,6,4,6,1,1,6,6,-0.31706665655557886,-0.10518810351919765,-0.3157484574086546,-0.05313378312606355
5,6,5,4,5,5,6,3,4,5,7,7,4,7,5,7,6,4,4,7,7,5,6,3,4,80,5,1,1,5,5,4,5,5,4,6,4,6,4,1,6,1,3,4,4,4,5,6,3,6,4,4,0.19887641814913123,0.021698228991189734,0.17207782155071885,0.015158538798509322
7,7,7,7,7,7,7,2,1,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,89,7,6,6,7,7,2,7,7,6,6,6,6,5,6,6,1,6,6,5,6,6,6,1,1,1,6,0.34194336414642096,0.15029015928127226,0.30196402100339864,0.14137702357309767
7,7,7,7,7,7,4,4,7,7,6,6,4,7,5,7,7,4,6,5,7,2,5,2,7,97,5,1,4,2,5,1,6,1,5,4,5,6,4,4,5,1,1,6,6,5,1,6,2,1,6,6,0.1540357781750044,0.0687769929749752,0.23308626003574912,0.0655491677688269
7,7,7,7,7,7,7,1,5,4,6,7,7,7,6,6,7,5,7,7,7,7,7,7,7,100,7,1,4,1,1,4,7,1,3,6,5,5,6,2,5,4,4,6,4,6,4,5,2,2,5,6,0.3911420978342072,0.14950109478654214,0.3106019075007621,0.14130715146600342
3,3,4,3,4,4,3,5,1,2,4,3,3,2,3,3,2,3,3,2,4,3,5,5,3,50,3,5,6,7,6,2,1,6,5,4,2,1,4,4,4,3,3,4,4,4,4,4,3,4,3,3,-0.3414865554273726,-0.12856518195302682,-0.3054820044283078,-0.07683259575692626
6,6,6,6,6,6,4,4,3,6,6,6,4,6,3,5,4,4,6,4,6,5,6,5,4,20,5,4,4,7,7,3,4,3,2,4,4,4,6,4,4,4,4,5,6,3,4,5,4,6,5,4,-0.018106884224911378,0.0021814345353825437,0.035618335199452913,-0.006368156390234079
7,7,7,3,7,7,7,1,1,7,7,7,6,7,7,7,7,6,5,6,6,6,6,6,6,80,7,7,7,1,7,7,7,1,5,5,3,6,4,2,6,2,3,5,6,6,6,6,4,4,6,5,0.29917121123025514,0.12182083368440207,0.15206891734845435,0.13681589409740003
7,7,7,7,7,7,NA,NA,NA,NA,4,3,2,1,6,3,4,1,4,2,6,3,1,4,1,25,4,5,3,7,6,4,1,2,2,2,5,2,5,4,5,2,1,2,1,6,5,6,1,5,3,4,-0.4095811821367009,-0.08459497044060835,-0.30854267401007307,-0.12110721804204305
7,7,7,7,7,7,7,1,1,7,6,6,6,5,6,5,5,5,5,5,6,6,6,6,6,70,4,1,6,5,5,5,4,1,5,6,2,4,2,3,5,2,1,4,2,4,5,6,2,3,5,3,0.14221117188476814,0.06747396694471164,0.07738509672557745,0.0874270538839587
5,6,6,5,6,6,7,3,5,7,5,5,5,7,6,6,6,4,5,5,5,1,5,5,5,60,2,3,6,5,6,4,3,3,4,5,1,1,4,5,3,4,4,1,4,3,3,6,4,3,4,1,-0.14015095303376754,-0.045386786159627115,-0.16949125852747335,-0.0406734596404832
4,6,6,2,4,6,5,4,7,7,4,5,3,4,1,5,4,4,4,3,4,1,1,1,3,65,4,3,4,5,4,4,5,4,1,1,1,4,5,5,2,5,6,2,4,2,3,4,4,3,5,1,-0.2784103688899886,-0.13686766604302653,-0.1969916306737589,-0.14052709056308854
6,6,6,5,6,5,1,6,1,5,6,6,6,7,6,7,5,2,5,5,7,3,5,6,6,85,5,1,2,5,1,2,5,1,4,4,3,3,2,4,2,1,5,3,5,2,5,4,2,6,4,6,0.01466258742189249,0.04114222015873179,-0.04261425315163807,0.03381414750779131
7,7,7,7,7,7,7,2,1,7,6,3,5,3,5,5,6,1,5,6,6,5,5,2,2,70,4,7,7,7,6,6,2,6,3,2,4,4,6,2,5,2,5,5,6,3,3,4,5,5,4,1,-0.1392659781677959,-0.08833815236167916,-0.09518317955930782,-0.06200505762975404
3,2,3,4,5,6,4,1,4,6,1,7,3,5,1,4,5,1,6,5,6,2,5,1,4,50,4,6,1,6,6,6,1,3,2,4,6,1,4,1,1,6,4,2,6,3,2,3,6,6,4,5,-0.11771157971932031,-0.03355245274838662,-0.09862489344698805,-0.11062683637162792
